Filenames,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612
entire study area,-11.694594865382776,-12.452646645616063,-11.387593955169507,-11.412660912257047,-11.014834511795819,-10.592028200911638,-10.40802239098635,-10.510231393075573,-10.754575059313671,-10.836326037146037,-10.951884476133449,-10.653070843420217
0<elevation <500m,-12.171452078528354,-12.736622442999847,-11.936986648935116,-11.989083101636718,-11.688348239039124,-11.380973219418522,-11.275286463238032,-11.402126851925978,-11.61544744136053,-11.66273378238615,-11.680428614503326,-11.213993876471996
500m< elevation <1000m,-11.277689046020953,-11.601029030120165,-10.899823666724295,-10.767099802212309,-10.54044669961573,-10.240900296897921,-10.114915649202285,-10.235685834725992,-10.479149926027219,-10.57124625694749,-10.705980469425203,-10.450493890045115
elevation >=1500m,-11.09378921571258,-10.09555267591772,-10.192322994120866,-9.870066562866391,-9.726429924931756,-9.64091742999156,-9.577012323376453,-9.742504638804242,-10.07652207146385,-10.18400086773527,-10.43591920344411,-10.316270843566622
